epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
76,33079.2,1.50777,1.07405,0.92266,0.99999,0.42652,0.3316,0.30577,0.17229,1.43353,1.03013,0.91234,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00232473,0.000774911,0.00929893,0.00309964
77,33504.1,1.51076,1.06967,0.92046,1,0.41942,0.33598,0.30636,0.17288,1.43186,1.02842,0.91306,0,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00216241,0.000720803,0.00864963,0.00288321
78,33933.3,1.49232,1.06152,0.92074,1,0.42387,0.33236,0.30598,0.17334,1.43224,1.02867,0.91268,0,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00200543,0.000668475,0.0080217,0.0026739
79,34357.8,1.49254,1.06143,0.91932,1,0.42493,0.33242,0.30599,0.1727,1.43222,1.02964,0.91247,0,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00185394,0.00061798,0.00741576,0.00247192
80,34785,1.49871,1.06128,0.92015,1,0.42633,0.33051,0.30686,0.17357,1.4298,1.02896,0.91214,0,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0017081,0.000569366,0.0068324,0.00227747
81,35202.8,1.498,1.05668,0.91728,1.00001,0.42988,0.32871,0.30634,0.17359,1.42915,1.02747,0.91148,0,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.00156805,0.000522683,0.0062722,0.00209073
82,35628.5,1.49509,1.05893,0.91951,1,0.4297,0.33116,0.30704,0.17387,1.42876,1.02636,0.91184,0,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00143393,0.000477976,0.00573571,0.0019119
83,36156.3,1.49413,1.05572,0.91922,0.99999,0.427,0.33386,0.30799,0.17411,1.42828,1.02524,0.91153,0,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00130587,0.000435288,0.00522346,0.00174115
84,36624.6,1.49193,1.0537,0.91756,0.99999,0.42556,0.33584,0.30733,0.17393,1.42776,1.02581,0.91056,0,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00118399,0.000394663,0.00473596,0.00157865
85,37022.2,1.49109,1.05281,0.91662,0.99999,0.42329,0.33474,0.30825,0.17433,1.42553,1.0234,0.91038,0,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00106842,0.000356141,0.00427369,0.00142456
