DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,model.23.m.1,34,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.14.m.0,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.14.m.1,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.20.m.0,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.20.m.1,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.23.m.0,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,model.23.m.1,27,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.14.m.0,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.14.m.1,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.20.m.0,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.20.m.1,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.23.m.0,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,model.23.m.1,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.14.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.14.m.1,31,unknown,small,irregular,LocalConvTransformer
